chave;ano;Sigla;dsc_tribunal;secao;trib;cn1;CnCCrim1;CnCNCrim1;CnExtFisc1;CnExtNFisc1;ExeJudCrimPL1;ExeJudCrimNPL1;ExeJudNCrim1;cp1;CpCCrim1;CpCNCrim1;CpExtFisc1;CpExtNFisc1;ExeJudPCrimPL1;ExeJudPCrimNPL1;ExeJudPNcrim1;susc1;susexfisc1;susexnfisc1;sus1;cntr;CnCrimTR;CnNCrimTR;cptr;CpCrimTR;CpNCrimTR;sustr;cnje;CnCCrimJE;CnCNCrimJE;ExeJudJE;cpje;CpCCrimJE;CpCNCrimJE;ExeJudPJE;suscje;susexje;susje;sus1jetr;CP;SUS;Tram;Dpj;DPeI;DPCO;dpjio;MagPAe1;MagPAeJE;MagPAeTR;MagPAcJE1;MagPAcTR1;MagPAcTRJE;MagAJ1;MagAJJE;MagAJTR;Mag;TPEfet;TPCed;TPReq;TPSV;Serv;tpefetae1;tpefetaeje;tpefetacje1;tpefettr;TpEfet1jetr;tpiae1;tpiaeje;tpiacje1;tpitr;tpi1jetr;tpsvae1;tpsvaeje;tpsvacje1;tpsvtr;tpsv1jetr;tasae1;tasaeje;tasacje1;tastr;Tpaf1jetr;tbaix1;TBaixCCrim1;TBaixCNCrim1;TBaixExtFisc1;TBaixExtNFisc1;TBaixJudCrimNPL1;TBaixJudCrimPL1;TBaixJudNCrim1;tbaixtr;TBaixCrimTR;TBaixNCrimTR;tbaixje;TBaixCCrimJE;TBaixCNCrimJE;TbaixJudJE;Tbaix;cp.sus;cp.sus.fisc;tbaix.sus.fisc;cp.sus.fisc.penal;tbaix.sus.fisc.penal;mag1je;pib;h1;g1;g7;f2;f3;cm1je;k1je;ipm1je;ipsjud1je;iad1je;tc1je
TRF1_TO_2012;2012;TRF1;TRF 1ª Região;TO;0;9128;1614;1508;5796;200;4;0;6;15706;1933;2289;10205;587;209;1;482;;;;;1126;4;1122;3106;5;3101;;12294;33;12261;0;10313;35;10278;0;;;;;29125;0;51673;40953987;1708736;;39245251;2;1;2;0;0;1;0;0;0;6;143;4;12;0;151;;;;;;;;;;;;;;;;;;;;;5855;1692;1660;2239;83;0;40;141;2573;3;2570;10214;30;10184;0;18642;29125;18920;16403;18710;16363;4;20684429940;1417694;0,00198;28,88775;0,42322;10,65110;5353,00000;11860,25000;4017,25000;106,41722;0,75012;0,66128
TRF1_BA_2012;2012;TRF1;TRF 1ª Região;BA;0;48290;5459;13388;27872;928;16;16;611;185165;7415;28578;132583;6395;285;203;9706;;;;;21641;5;21636;30072;5;30067;;66098;56;66042;0;88483;135;88348;0;;;;;303720;0;439749;255126391;21324321;;233802070;41;4;5;2;6;3;2;0;0;59;959;8;85;3;1039;;;;;;;;;;;;;;;;;;;;;64157;6801;21121;30987;964;71;112;4101;18622;7;18615;96915;90;96825;0;179694;303720;171137;148707;170649;148524;54;182572530053;14175341;0,00140;17,99790;0,41622;7,32963;2106,38889;7185,85185;2982,81481;155,02599;1,40812;0,58490
TRF1_MA_2012;2012;TRF1;TRF 1ª Região;MA;0;13797;3657;4520;4821;412;9;1;377;61378;4145;10803;38919;3003;117;178;4213;;;;;10758;4;10754;10466;4;10462;;51478;79;51399;0;61338;68;61270;0;;;;;133182;0;209215;89007071;8952138;;80054934;7;3;0;3;3;1;0;1;0;16;345;13;40;1;373;;;;;;;;;;;;;;;;;;;;;13822;3712;5046;4150;238;25;26;625;3675;2;3673;67854;21;67833;0;85351;133182;94263;81201;93968;81150;16;60490108518;6714314;0,00147;13,25632;0,23830;5,55530;4055,50000;11749,43750;5104,75000;218,97051;1,25126;0,56553
TRF1_PI_2012;2012;TRF1;TRF 1ª Região;PI;0;10538;1799;3402;5198;129;3;0;7;43730;2963;10402;25668;1476;74;67;3080;;;;;2819;0;2819;17298;0;17298;;25348;8;25340;0;82902;26;82876;0;;;;;143930;0;182635;69074311;6562666;;62511644;7;3;2;1;2;1;0;1;0;15;272;3;16;0;285;;;;;;;;;;;;;;;;;;;;;9323;1571;4691;2077;135;9;21;819;2660;1;2659;24575;13;24562;0;36558;143930;118262;34481;118121;34451;13;28637684706;3160748;0,00241;21,85379;0,47457;9,01685;2759,69231;12501,38462;2607,53846;118,94035;0,94460;0,79142
TRF1_TRU_2012;2012;TRF1;TRF 1ª Região;TRU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1355608997265;72172406;0,00000;0,00000;0,00000;0,00000;;;;;;
TRF1_2º Grau_2012;2012;TRF1;TRF 1ª Região;2º Grau;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;;;;;423830;0;531256;392965280;22474005;;370491275;0;0;0;0;0;0;0;0;0;26;976;68;211;39;637;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107426;423830;423830;107426;423830;107426;0;1355608997265;72172406;0,00029;5,44481;0,03602;0,88261;;;;0,00000;;
TRF1_total_2012;2012;TRF1;TRF 1ª Região;total;1;273540;45116;93121;125673;5793;319;33;3485;1254491;66049;239312;809978;44268;3070;1976;89838;;;;;125594;45;125549;194162;44;194118;;382633;939;381694;0;676007;1463;674544;0;;;;;2570705;0;3711303;2025728980;215039494;;1810689486;222;39;33;22;44;15;8;8;0;385;7077;214;722;54;7639;;;;;;;;;;;;;;;;;;;;;359049;57231;155531;111264;6458;601;1340;26624;94003;37;93966;580120;950;579170;0;1140598;2570705;1760727;1029334;1755681;1027393;326;1355608997265;72172406;0,00149;28,06792;0,53344;10,58438;2001,03067;7934,57362;2880,88650;122,94397;1,43128;0,63692
TRF2_RJ_2012;2012;TRF2;TRF 2ª Região;RJ;0;96754;10026;30209;46137;982;0;931;8469;647043;31299;104687;456684;16139;0;2359;35875;;;;;40005;26;39979;51105;9;51096;;106268;259;84200;21809;145966;1350;113830;30786;;;;;844114;0;1087141;742864621;107794418;;635070203;112;42;12;21;0;0;11;1;1;174;2833;81;107;7;2866;;;;;;;;;;;;;;;;;;;;;131044;13160;44570;53427;4466;571;0;14850;25362;26;25336;145667;705;106534;38428;302073;844114;387430;248646;385071;248075;163;574884973130;16231365;0,00129;45,76723;1,07200;17,65717;1054,06748;6110,61963;1697,61350;96,54955;1,36296;0,72219
TRF2_ES_2012;2012;TRF2;TRF 2ª Região;ES;0;20785;2160;5609;9671;1471;0;150;1724;116974;5149;12602;89847;2705;0;308;6363;;;;;5909;7;5902;9928;9;9919;;22304;129;17575;4600;34712;154;31056;3502;;;;;161614;0;210612;143506263;9852282;;133653981;11;6;2;9;1;0;3;0;0;26;519;19;18;1;519;;;;;;;;;;;;;;;;;;;;;23692;2412;6507;10348;1105;118;0;3202;3967;6;3961;25707;134;20193;5380;53366;161614;71767;43018;71459;42900;24;116850580542;3578067;0,00123;40,10720;0,72665;14,50504;1525,62500;8115,62500;2058,29167;95,18112;1,14644;0,74638
TRF2_TRU_2012;2012;TRF2;TRF 2ª Região;TRU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;691735553672;19809432;0,00000;0,00000;0,00000;0,00000;;;;;;
